SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,823 200th Place SW,Lynnwood,WA,98036,695000,4,2.5,Hilltop,3119,4792,2007,4,223,25,Active,,,http://www.redfin.com/WA/Lynnwood/823-200th-Pl-SW-98036/home/12489952,NWMLS,1337831,Y,Y,47.8167365,-122.2451276
PAST SALE,December-14-2015,Single Family Residential,2620 197th Place SW #20,Lynnwood,WA,98036,649950,4,3.25,Lynnwood,2620,2826,2015,7,248,128,Pending,,,http://www.redfin.com/WA/Lynnwood/2620-197th-Pl-SW-98036/unit-20/home/101603522,NWMLS,1337374,Y,Y,47.8191017,-122.2690796
MLS Listing,,Single Family Residential,216 157th Place SW,Lynnwood,WA,98087,689950,5,2.75,Martha Lake,2847,3920,2016,12,242,67,Active,,,http://www.redfin.com/WA/Lynnwood/216-157th-Pl-SW-98087/home/112744691,NWMLS,1333928,Y,Y,47.854914,-122.236716
MLS Listing,,Single Family Residential,3410 169th St SW,Lynnwood,WA,98037,695000,5,2.5,Alderwood,2862,7405,2003,31,243,19,Contingent,,,http://www.redfin.com/WA/Lynnwood/3410-169th-St-SW-98037/home/2897026,NWMLS,1323056,Y,Y,47.8451765,-122.279497
PAST SALE,April-6-2016,Single Family Residential,14215 24th Ave W,Lynnwood,WA,98087,650000,4,2.75,Lynnwood,2817,4792,2016,11,231,54,Pending,,,http://www.redfin.com/WA/Lynnwood/14215-24th-Ave-W-98087/home/112744863,NWMLS,1333431,Y,Y,47.8688205,-122.2651363
MLS Listing,,Single Family Residential,810 199th St SW,Lynnwood,WA,98036,725000,4,2.5,Floral Hills,2960,5227,2006,25,245,34,Active,,,http://www.redfin.com/WA/Lynnwood/810-199th-St-SW-98036/home/22960374,NWMLS,1323944,Y,Y,47.8175343,-122.2445021
MLS Listing,,Single Family Residential,20729 12th Ave W,Lynnwood,WA,98036,630000,4,2.5,Logan Park,2373,5227,2004,10,265,61,Active,,,http://www.redfin.com/WA/Lynnwood/20729-12th-Ave-W-98036/home/2905488,NWMLS,1336115,Y,Y,47.8098963,-122.2485818
MLS Listing,,Single Family Residential,3733 160th Place SE,Bothell,WA,98012,675000,4,2.5,Mill Creek,2633,5227,2006,10,256,,Active,August-12-2018 01:00 PM,August-12-2018 04:00 PM,http://www.redfin.com/WA/Bothell/3733-160th-Pl-SE-98012/home/11881687,NWMLS,1332034,Y,Y,47.8525398,-122.1814874
MLS Listing,,Single Family Residential,3413 168th Pl SW,Lynnwood,WA,98037,650000,4,2.5,Alderwood,2457,8276,2003,11,265,,Active,,,http://www.redfin.com/WA/Lynnwood/3413-168th-Pl-SW-98037/home/2897064,NWMLS,1335246,Y,Y,47.8461986,-122.279528
MLS Listing,,Single Family Residential,424 197th Place SW,Lynnwood,WA,98036,650000,4,2.5,Canyon Park,2696,5663,2007,11,241,12,Active,,,http://www.redfin.com/WA/Lynnwood/424-197th-Pl-SW-98036/home/12490136,NWMLS,1335725,Y,Y,47.8189288,-122.2396484
MLS Listing,,Single Family Residential,18332 27th Dr SE,Bothell,WA,98012,649950,4,2.5,North Bothell,2328,5000,2003,12,279,59,Active,August-9-2018 05:00 PM,August-9-2018 07:00 PM,http://www.redfin.com/WA/Bothell/18332-27th-Dr-SE-98012/unit-45/home/2895230,NWMLS,1334881,Y,Y,47.831049,-122.1948282
MLS Listing,,Single Family Residential,2711 232nd St SE #53,Bothell,WA,98021,639000,3,2.5,Canyon Park,2348,4000,2005,36,272,34,Active,,,http://www.redfin.com/WA/Bothell/2711-232nd-St-SE-98021/unit-53/home/2915992,NWMLS,1321024,Y,Y,47.7875772,-122.1958565
MLS Listing,,Single Family Residential,23828 51st Ave SE,Woodinville,WA,98072,650000,4,2.5,Woodinville,2989,9583,2001,18,217,,Active,,,http://www.redfin.com/WA/Woodinville/23828-51st-Ave-SE-98072/home/2749241,NWMLS,1331545,Y,Y,47.7809291,-122.1648786
MLS Listing,,Single Family Residential,612 Grimes Rd,Bothell,WA,98012,595000,4,2.5,Bothell,2330,7841,1997,13,255,,Active,,,http://www.redfin.com/WA/Bothell/612-Grimes-Rd-98012/home/2856122,NWMLS,1334249,Y,Y,47.8149985,-122.2232879
MLS Listing,,Single Family Residential,20124 S Danvers Rd,Lynnwood,WA,98036,649900,5,3.5,North Creek,3038,3920,2014,67,214,,Active,,,http://www.redfin.com/WA/Lynnwood/20124-S-Danvers-Rd-98036/home/69351302,NWMLS,1301455,Y,Y,47.8152657,-122.2379068
MLS Listing,,Single Family Residential,4026 166th St SE,Bothell,WA,98012,678000,4,2.5,Bothell,2545,8276,2007,13,266,30,Active,,,http://www.redfin.com/WA/Bothell/4026-166th-St-SE-98012/home/12490397,NWMLS,1334705,Y,Y,47.8472624,-122.178308
MLS Listing,,Single Family Residential,12721 51st Ave SE,Everett,WA,98208,530000,6,3.0,Snohomish,2426,9583,2005,13,218,,Active,,,http://www.redfin.com/WA/Everett/12721-51st-Ave-SE-98208/home/2912242,NWMLS,1334055,Y,Y,47.8817234,-122.1634894
PAST SALE,April-16-2010,Single Family Residential,702 203rd Place SW,Lynnwood,WA,98036,679950,4,2.5,Brier,3076,5663,2007,27,221,24,Pending,,,http://www.redfin.com/WA/Lynnwood/702-203rd-Pl-SW-98036/home/17069620,NWMLS,1324986,Y,Y,47.813377,-122.2425241
MLS Listing,,Single Family Residential,20609 Meridian Ave S,Lynnwood,WA,98036,689950,4,2.75,Bothell,2890,3485,2014,53,239,46,Active,,,http://www.redfin.com/WA/Lynnwood/20609-Meridian-Ave-S-98036/home/51569352,NWMLS,1311711,Y,Y,47.8111205,-122.2333229
MLS Listing,,Single Family Residential,1006 203rd St SW,Lynnwood,WA,98036,647900,4,2.5,Lynnwood,2509,6098,2004,42,258,30,Active,,,http://www.redfin.com/WA/Lynnwood/1006-203rd-St-SW-98036/home/2903708,NWMLS,1317620,Y,Y,47.8138998,-122.2471855
MLS Listing,,Single Family Residential,14525 18th Place W,Lynnwood,WA,98087,599888,5,3.5,Lake Stickney,2547,2611,2014,38,236,40,Active,,,http://www.redfin.com/WA/Lynnwood/14525-18th-Pl-W-98087/unit-55/home/40603989,NWMLS,1320808,Y,Y,47.865969,-122.257608
MLS Listing,,Single Family Residential,15116 18th Ave W,Lynnwood,WA,98087,595000,4,2.5,Alderwood Manor,2383,6098,2003,26,250,,Active,,,http://www.redfin.com/WA/Lynnwood/15116-18th-Ave-W-98087/home/2906781,NWMLS,1326272,Y,Y,47.860667,-122.2581062
MLS Listing,,Single Family Residential,13826 Beverly Park Rd,Lynnwood,WA,98037,644950,3,2.5,Lake Serene,2637,9147,2005,18,245,,Active,,,http://www.redfin.com/WA/Lynnwood/13826-Beverly-Park-Rd-98087/home/2912848,NWMLS,1327127,Y,Y,47.8725586,-122.294446
MLS Listing,,Single Family Residential,15106 22nd Ave W,Lynnwood,WA,98087,625000,4,3.5,Cobblestone,3100,6098,2000,19,202,16,Active,,,http://www.redfin.com/WA/Lynnwood/15106-22nd-Ave-W-98087/home/2865773,NWMLS,1331034,Y,Y,47.8615582,-122.2634836
MLS Listing,,Single Family Residential,12432 31st Dr SE,Everett,WA,98208,660000,5,2.5,Everett,2598,6534,2004,17,254,,Active,,,http://www.redfin.com/WA/Everett/12432-31st-Dr-SE-98208/home/2904021,NWMLS,1331868,Y,Y,47.8844335,-122.1891695
MLS Listing,,Single Family Residential,12001 60th Ave SE,Snohomish,WA,98296,590000,4,2.5,Seattle Hill,2920,3920,2005,34,202,32,Active,,,http://www.redfin.com/WA/Snohomish/12001-60th-Ave-SE-98296/home/2913920,NWMLS,1321430,Y,Y,47.8886922,-122.1512408
MLS Listing,,Single Family Residential,11712 59th Ave SE,Snohomish,WA,98296,559000,4,2.5,Seattle Hill,3045,6098,2005,102,184,35,Active,,,http://www.redfin.com/WA/Snohomish/11712-59th-Ave-SE-98296/home/11881219,NWMLS,1278319,Y,Y,47.8908466,-122.1541121
MLS Listing,,Single Family Residential,5911 120th Place SE,Snohomish,WA,98296,599000,5,3.75,Snohomish,3600,4356,2005,18,166,33,Active,August-11-2018 11:00 AM,August-11-2018 01:00 PM,http://www.redfin.com/WA/Snohomish/5911-120th-Pl-SE-98296/home/2913848,NWMLS,1330549,Y,Y,47.8883228,-122.1525597
PAST SALE,January-27-2005,Single Family Residential,3605 147th Place SE,Mill Creek,WA,98012,618880,4,2.5,Mill Creek,2224,3920,2005,17,278,40,Pending,,,http://www.redfin.com/WA/Mill-Creek/3605-147th-Pl-SE-98012/home/2905004,NWMLS,1325310,Y,Y,47.8640037,-122.1837143
PAST SALE,August-10-2011,Single Family Residential,27930 NE 147th Place,Duvall,WA,98019,659500,4,2.5,Duvall,2827,6677,2011,18,233,39,Pending,,,http://www.redfin.com/WA/Duvall/27930-NE-147th-Pl-98019/home/22459248,NWMLS,1329021,Y,Y,47.7336987,-121.9650586
MLS Listing,,Single Family Residential,622 195TH St SE,Bothell,WA,98012,650000,5,2.5,Bothell,3013,3920,2010,39,216,25,Active,,,http://www.redfin.com/WA/Bothell/622-195th-St-SE-98012/home/39951431,NWMLS,1318223,Y,Y,47.8217233,-122.2218403
MLS Listing,,Single Family Residential,3314 201st Place SE,Bothell,WA,98012,635000,4,2.5,Bothell,2110,5663,1997,25,301,42,Active,,,http://www.redfin.com/WA/Bothell/3314-201st-Pl-SE-98012/home/2851224,NWMLS,1325296,Y,Y,47.8148003,-122.1880225
MLS Listing,,Single Family Residential,17004 4th Ave SE,Bothell,WA,98012,610000,4,2.5,Mill Creek,2368,4792,2003,25,258,,Contingent,,,http://www.redfin.com/WA/Bothell/17004-4th-Ave-SE-98012/home/2898714,NWMLS,1323863,Y,Y,47.8436124,-122.2264319
MLS Listing,,Single Family Residential,16029 41st Ave SE,Bothell,WA,98012,624900,5,2.5,Mill Creek,2325,8712,2006,81,269,,Active,,,http://www.redfin.com/WA/Bothell/16029-41st-Ave-SE-98012/home/11882630,NWMLS,1294250,Y,Y,47.8518707,-122.1766251
PAST SALE,August-12-2016,Single Family Residential,1921 144th Place SW,Lynnwood,WA,98087,579900,4,2.5,Lynnwood,2633,11326,2005,39,220,,Pending,,,http://www.redfin.com/WA/Lynnwood/1921-144th-Pl-SW-98087/home/3034932,NWMLS,1317364,Y,Y,47.8676658,-122.2600563
MLS Listing,,Single Family Residential,432 191st St SW,Lynnwood,WA,98036,614950,3,2.5,Lynnwood,2239,5663,2006,39,275,43,Active,,,http://www.redfin.com/WA/Lynnwood/432-191st-St-SW-98036/home/11839360,NWMLS,1318841,Y,Y,47.8243079,-122.2404402
MLS Listing,,Single Family Residential,5724 119th St SE,Snohomish,WA,98296,574950,4,2.5,Seattle Hill,3142,4356,2005,59,183,28,Active,,,http://www.redfin.com/WA/Snohomish/5724-119th-St-SE-98296/home/2913906,NWMLS,1304982,Y,Y,47.889219,-122.15421
MLS Listing,,Single Family Residential,16 228th St SE,Bothell,WA,98021,625000,4,2.5,Canyon Park,2191,5337,2006,18,285,,Active,,,http://www.redfin.com/WA/Bothell/16-228th-St-SE-98021/home/2912106,NWMLS,1331592,Y,Y,47.7909563,-122.2323093
PAST SALE,August-4-2014,Single Family Residential,18127 42nd Dr SE,Bothell,WA,98012,749900,5,2.75,Bothell,2661,6398,2014,45,282,37,Pending,,,http://www.redfin.com/WA/Bothell/18127-42nd-Dr-SE-98012/home/69351843,NWMLS,1309673,Y,Y,47.8329122,-122.1758486
